Mon_Year,Counts
Jan-46,26.663
Feb-46,23.598
Mar-46,26.931
Apr-46,24.74
May-46,25.806
Jun-46,24.364
Jul-46,24.477
Aug-46,23.901
Sep-46,23.175
Oct-46,23.227
Nov-46,21.672
Dec-46,21.87
Jan-47,21.439
Feb-47,21.089
Mar-47,23.709
Apr-47,21.669
May-47,21.752
Jun-47,20.761
Jul-47,23.479
Aug-47,23.824
Sep-47,23.105
Oct-47,23.11
Nov-47,21.759
Dec-47,22.073
Jan-48,21.937
Feb-48,20.035
Mar-48,23.59
Apr-48,21.672
May-48,22.222
Jun-48,22.123
Jul-48,23.95
Aug-48,23.504
Sep-48,22.238
Oct-48,23.142
Nov-48,21.059
Dec-48,21.573
Jan-49,21.548
Feb-49,20
Mar-49,22.424
Apr-49,20.615
May-49,21.761
Jun-49,22.874
Jul-49,24.104
Aug-49,23.748
Sep-49,23.262
Oct-49,22.907
Nov-49,21.519
Dec-49,22.025
Jan-50,22.604
Feb-50,20.894
Mar-50,24.677
Apr-50,23.673
May-50,25.32
Jun-50,23.583
Jul-50,24.671
Aug-50,24.454
Sep-50,24.122
Oct-50,24.252
Nov-50,22.084
Dec-50,22.991
Jan-51,23.287
Feb-51,23.049
Mar-51,25.076
Apr-51,24.037
May-51,24.43
Jun-51,24.667
Jul-51,26.451
Aug-51,25.618
Sep-51,25.014
Oct-51,25.11
Nov-51,22.964
Dec-51,23.981
Jan-52,23.798
Feb-52,22.27
Mar-52,24.775
Apr-52,22.646
May-52,23.988
Jun-52,24.737
Jul-52,26.276
Aug-52,25.816
Sep-52,25.21
Oct-52,25.199
Nov-52,23.162
Dec-52,24.707
Jan-53,24.364
Feb-53,22.644
Mar-53,25.565
Apr-53,24.062
May-53,25.431
Jun-53,24.635
Jul-53,27.009
Aug-53,26.606
Sep-53,26.268
Oct-53,26.462
Nov-53,25.246
Dec-53,25.18
Jan-54,24.657
Feb-54,23.304
Mar-54,26.982
Apr-54,26.199
May-54,27.21
Jun-54,26.122
Jul-54,26.706
Aug-54,26.878
Sep-54,26.152
Oct-54,26.379
Nov-54,24.712
Dec-54,25.688
Jan-55,24.99
Feb-55,24.239
Mar-55,26.721
Apr-55,23.475
May-55,24.767
Jun-55,26.219
Jul-55,28.361
Aug-55,28.599
Sep-55,27.914
Oct-55,27.784
Nov-55,25.693
Dec-55,26.881
Jan-56,26.217
Feb-56,24.218
Mar-56,27.914
Apr-56,26.975
May-56,28.527
Jun-56,27.139
Jul-56,28.982
Aug-56,28.169
Sep-56,28.056
Oct-56,29.136
Nov-56,26.291
Dec-56,26.987
Jan-57,26.589
Feb-57,24.848
Mar-57,27.543
Apr-57,26.896
May-57,28.878
Jun-57,27.39
Jul-57,28.065
Aug-57,28.141
Sep-57,29.048
Oct-57,28.484
Nov-57,26.634
Dec-57,27.735
Jan-58,27.132
Feb-58,24.924
Mar-58,28.963
Apr-58,26.589
May-58,27.931
Jun-58,28.009
Jul-58,29.229
Aug-58,28.759
Sep-58,28.405
Oct-58,27.945
Nov-58,25.912
Dec-58,26.619
Jan-59,26.076
Feb-59,25.286
Mar-59,27.66
Apr-59,25.951
May-59,26.398
Jun-59,25.565
Jul-59,28.865
Aug-59,30
Sep-59,29.261
Oct-59,29.012
Nov-59,26.992
Dec-59,27.897
